Date,Open,High,Low,Close,Adj Close,Volume
2020-09-12,0.411615,0.417602,0.399584,0.409227,0.409227,147918798
2020-09-13,0.409232,0.415703,0.360327,0.377276,0.377276,146261454
2020-09-14,0.376800,0.391649,0.367593,0.382977,0.382977,127090720
2020-09-15,0.382977,0.387775,0.352758,0.353810,0.353810,137166676
2020-09-16,0.354142,0.362463,0.338816,0.360794,0.360794,131124197
2020-09-17,0.360794,0.375231,0.346888,0.357322,0.357322,133380024
2020-09-18,0.357322,0.363121,0.329882,0.336943,0.336943,134404170
2020-09-19,0.337285,0.345371,0.326355,0.342202,0.342202,95511990
2020-09-20,0.343153,0.358076,0.314633,0.327810,0.327810,119120575
2020-09-21,0.327198,0.330192,0.280437,0.289070,0.289070,120549272
2020-09-22,0.288717,0.313098,0.277302,0.306797,0.306797,73652521
2020-09-23,0.307676,0.309922,0.264417,0.267851,0.267851,131999425
2020-09-24,0.270614,0.297753,0.198412,0.294438,0.294438,63506796
2020-09-25,0.294068,0.327051,0.289936,0.317490,0.317490,69380549
2020-09-26,0.317395,0.340813,0.315363,0.326303,0.326303,60650635
2020-09-27,0.325705,0.326618,0.304937,0.313840,0.313840,47989116
2020-09-28,0.314154,0.347605,0.313454,0.328337,0.328337,67843978
2020-09-29,0.327547,0.342676,0.321550,0.336226,0.336226,104029049
2020-09-30,0.336857,0.345711,0.320749,0.345711,0.345711,106426941
2020-10-01,0.346579,0.369100,0.328394,0.334291,0.334291,156750918
2020-10-02,0.333978,0.339648,0.294100,0.317115,0.317115,208599779
2020-10-03,0.317089,0.329907,0.312816,0.313876,0.313876,147675549
2020-10-04,0.314321,0.319853,0.306242,0.313273,0.313273,131929747
2020-10-05,0.313274,0.322320,0.307803,0.317872,0.317872,122455641
2020-10-06,0.317811,0.321394,0.283686,0.287602,0.287602,142004290
2020-10-07,0.285309,0.309601,0.277617,0.305522,0.305522,153773046
2020-10-08,0.307388,0.313922,0.290182,0.307375,0.307375,147516868
2020-10-09,0.307861,0.332334,0.300698,0.330713,0.330713,152635150
2020-10-10,0.329873,0.337668,0.320533,0.324523,0.324523,149128190
2020-10-11,0.324498,0.337918,0.316634,0.332201,0.332201,150596743
2020-10-12,0.331979,0.362413,0.328257,0.344425,0.344425,206423893
2020-10-13,0.344009,0.355720,0.331990,0.343328,0.343328,172399878
2020-10-14,0.344393,0.347948,0.319967,0.326955,0.326955,171646779
2020-10-15,0.327183,0.331886,0.306876,0.315197,0.315197,103784753
2020-10-16,0.314226,0.317328,0.296755,0.299194,0.299194,119502553
2020-10-17,0.299402,0.317842,0.298753,0.312509,0.312509,77610984
2020-10-18,0.314045,0.316285,0.309454,0.316258,0.316258,103439389
2020-10-19,0.314748,0.317438,0.301892,0.302858,0.302858,108467486
2020-10-20,0.302872,0.304676,0.282130,0.287303,0.287303,74330601
2020-10-21,0.286842,0.312472,0.285944,0.301554,0.301554,60706484
2020-10-22,0.301498,0.324686,0.301498,0.315317,0.315317,80446555
2020-10-23,0.315350,0.323209,0.301282,0.308691,0.308691,80162817
2020-10-24,0.308691,0.313541,0.303664,0.307377,0.307377,67012147
2020-10-25,0.307377,0.311868,0.298923,0.303188,0.303188,68278477
2020-10-26,0.303188,0.306984,0.285402,0.291460,0.291460,81997964
2020-10-27,0.291462,0.299135,0.283366,0.287536,0.287536,81941358
2020-10-28,0.287538,0.292052,0.267176,0.277327,0.277327,93228863
2020-10-29,0.277327,0.283436,0.253767,0.256087,0.256087,82069856
2020-10-30,0.256087,0.257702,0.238764,0.254453,0.254453,99778074
2020-10-31,0.254454,0.264313,0.247922,0.249471,0.249471,65674043
2020-11-01,0.249471,0.261816,0.243741,0.257291,0.257291,58993441
